user_id,parent_asin
AFJZR5GZJ6UHJALQNAZWXCMPREKQ,B08Z4FX7TK
AH7UMOQESDAPQU6VKSMUY5M5ZXJQ,B00U3FPN4U
AESPXVUCDIQ7VTWY4IO7Q3SUDN7Q,B00IOWB438
AEYVPPWR4CIKWX4BGYKCBCDL2CZQ,B07WT5Y7WP
AER4GUNDMEXZ4HWOWNW4G7WMV5IQ,B013EKI2DY
AFKGWO6PTQLICE6O4G5JWXJMUPIQ,B09YQGRG1Q
AEPUMYADPXZKRZFEXUKR66EYBMFA,B0BZ5HGVQP
AGTRUMU3PDT2EWJI7TZ2WA7TB3NA,B0C1VP1GGK
AHH5LDX7NVGCY2GTAYZMGM4SLO4A,B085884FTD
AETSRW644ALHTNFDBEK62V5L2MRA,B093SVDY5V
AH37PMZUFFA52Z3KSD4KLUPJTJGA_1,B09DV19SMR
AFPZCHIKMT6STTPKBNLOR2HY23FA,B07961C64Q
AGZI5QP5F26TO5XZSMJM5KJFKPPA,B00OAJ412U
AG34BVZFQOMU32QV7NIUXGTJXIXQ,B07C3W6DFP
AHSFWR6O3DXPIN5WTYLFSPIKLYIQ,B00UCUOUJK
AGGN2HEKOKFMVUQKIVSMPKPTAOHA,B0792GSLTF
AFVQ6VQPSNGYJP7FOFUEJVXC22RQ,B08JGFKC1K
AFOULRK5SF6IY7ZE2YPOGK77L2YQ,B087D9VRGC
AGQQWPZRBUEKNQBEC5H7S54NKEXA,B098HS1NDV
AHHRCVQYJLBS3T2QMN5PEZS4QYNQ,B003NR57BY
AGJV5A3HPXGO7YFFEGOWMT4WBEJA,B0C44HQ7CF
AFEXAJF27WHPQ4URPRWZGLXXDXJQ,B00EUY59Z8
AHV5E2LSNVJKE43YUBBROEEPRU4Q,B00EWCUK1Q
AEOLMHW3TRJM2F7ICEUMSVIZ3JRQ,B0BCTG71RQ
AHB7KZGSOFMHLVS7RQMGCGFCAY5A,B0BYSP9676
AHHO6PYBBKHCSRNOANIXSHB4IYFQ,B0BS6KLLT1
AHGRQVMEBAHIQXHN6LMRGVTD3HZQ,B0933BVK6T
AEQ56ZSEWDKJ4GLPKOH2JJ5ZTVGA,B01KNFEOX0
AHJXSFVHTTPSMAJS7MEJFZBJV63Q,B07J38VMPN
AFJGIOCDEGIQT4TAI447HQYK4CTA,B09ZMQWGCG
AH33AFKDWJM3IZJP7G5CKY7INLDQ,B013EKI2DY
